,concept:name,org:resource,time:timestamp,Activity,case:concept:name
2398,Formatting,(154e48ba22ceedb01e9058a7f8da9457a445ee19),2023-05-26,Formatting,#23086
2399,Refactor,(86c811660ebf0b3fcbae2f34273d4c9d0c22abc4),2023-06-02,Refactor,#23086
2400,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#23086
2401,Refactor,(6e67ad51b70ce4f02be967bb14e5557a021e48eb),2024-01-04,Refactor,#23086
2402,NewFeature,(07befb545b2bc6ea284d444637a039127af6b4d1),2021-11-10,NewFeature,#23101
2403,Refactor,(e3d777cf8fcdeafe11df73d88fd6c374148b6f47),2021-11-17,Refactor,#23101
2404,Refactor,(ef3054d1a8d368f5789a07ad5f0b14224ec1ce19),2023-07-14,Refactor,#23101
2405,NewFeature,(e5b651f407fcb743e2d00c45b0d361fb98230efb),2022-04-01,NewFeature,#23112
2406,Refactor,(c4873a64ecd54dc0bbccb1eaeecd1b5ae2f6aef5),2022-04-03,Refactor,#23112
2407,Enhancement,(f5daefb09d1fdf3fc931e2ce84a28d4af1ba2bea),2022-04-03,Enhancement,#23112
2408,Refactor,(8b8defeacc5f7ba2bac63baf65c1d3b1ef60177c),2022-04-03,Refactor,#23112
2409,Refactor,(877e10205b286a6c1b8da869c54b50db866c1db8),2022-04-03,Refactor,#23112
2410,Refactor,(6567e0e0aa0dc429dcfc65870a7471b55c63f506),2022-04-09,Refactor,#23112
2411,Comment,(6ee34331b7a0e5ea82768f4df5f3956ce5322742),2022-04-10,Comment,#23112
2412,BugFix,(6ee34331b7a0e5ea82768f4df5f3956ce5322742),2022-04-10,BugFix,#23112
2413,Refactor,(2e121014b0a33ab54bc91fe3166e1c8da5c8da18),2022-04-15,Refactor,#23112
2414,Refactor,(2ee39b62f33027f49fc1c62a05379a37fc52077c),2022-04-18,Refactor,#23112
2415,Refactor,(8aaf64d9172bacff2231823ccedbe27a1a968d45),2022-04-19,Refactor,#23112
2416,Refactor,(a0d28f1770870a90be5c7887d7bfc4b34db5d5d2),2022-04-20,Refactor,#23112
2417,BugFix,(6a05702c2048bcfac1acd5203013de612990404d),2022-04-23,BugFix,#23112
2418,Refactor,(b37d13af7278c241064b61279e7e8538a03206a3),2022-04-29,Refactor,#23112
2419,Refactor,(b37d13af7278c241064b61279e7e8538a03206a3),2022-04-29,Refactor,#23112
2420,Refactor,(6e902727830e217b32f349c8c974220d2df9d7d9),2022-05-05,Refactor,#23112
2421,BugFix,(726a38712e17f1f31436d033d0597237c086d309),2022-05-09,BugFix,#23112
2422,Refactor,(c5126de559719ebdaf4475b0db4ab21c26b90a1a),2022-05-22,Refactor,#23112
2423,Refactor,(167672dcd760fcfa7124eecb77ccdbedd3d99948),2022-05-22,Refactor,#23112
2424,Refactor,(a5e1d4c50ae40c8203d8490be83ef86e16ebf1c2),2022-05-22,Refactor,#23112
2425,Refactor,(31413a7d773e384753dd889ca2f5dcd8aa1fdeca),2022-05-23,Refactor,#23112
2426,Refactor,(1f322b565f409ab5068e225a4d9a929907c966f1),2022-05-26,Refactor,#23112
2427,Refactor,(85c0875db28477d7ed6515c39376b93407353b27),2022-05-31,Refactor,#23112
2428,Refactor,(49db4ef5e492d601ba50b784ddd0bf6964709e3d),2022-06-02,Refactor,#23112
2429,Refactor,(8aca38351cd6d33a1202bf9a13890dc8e5eadd49),2022-06-03,Refactor,#23112
2430,BugFix,(1a6a6043102dd27a6107a62993638b4d2b02a4e5),2022-06-18,BugFix,#23112
2431,Refactor,(4520a51bbecf9874dce563cf6cf2d2bdb649a917),2022-06-20,Refactor,#23112
2432,Refactor,(975c8f4b77ac91678ed102c75412a8868fc1689c),2022-06-20,Refactor,#23112
2433,BugFix,(9cdfaf693c2966c536e43081f662618cddb9936f),2022-07-29,BugFix,#23112
2434,Refactor,(6f68942e83e21b6548bd9c274b9235ce44cf31c5),2022-09-26,Refactor,#23112
2435,BugFix,(52096599b30d4d49b3fee61a85102054a2d298d8),2022-10-18,BugFix,#23112
2436,Refactor,(cc1069a3f00fb4422bf372e409e95849c1c8322e),2022-11-26,Refactor,#23112
2437,Refactor,(cf02107e6a8f9a122f15b38ed6b699215ee7cf16),2023-01-25,Refactor,#23112
2438,Refactor,(7e79fc5b8e04e0614d8ae09f908a73728f3e596e),2023-02-08,Refactor,#23112
2439,Refactor,(842489a5dc2d4e0c7f80c4bde031355383848360),2023-02-08,Refactor,#23112
2440,Refactor,(23e2cb0c53abc0727b0105beb777fefbb645280b),2023-02-08,Refactor,#23112
2441,Refactor,(aa8afe90b023b0ef1c4bc766566e81b894f66885),2023-02-15,Refactor,#23112
2442,Refactor,(babd3b0037d660f52cccbb295b8839b8dd744036),2023-02-21,Refactor,#23112
2443,Refactor,(f9f6662a8c4692cc67006fb302068c96a0e86ac1),2023-02-23,Refactor,#23112
2444,Refactor,(98c0cc044d1be2c098335d9656f2d0eadf524129),2023-03-18,Refactor,#23112
2445,Refactor,(769ad2764512b38e987ebbed1fe026d68a424bb1),2023-03-24,Refactor,#23112
2446,Refactor,(61f22f34d32ca33d99233eb5b242e52c23aabb23),2023-03-26,Refactor,#23112
2447,Refactor,(8c0ae93d2af2b55197de856529384e8a79967f92),2023-04-11,Refactor,#23112
2448,Refactor,(c8c5ab22ce242b93632a7e2b9f855bbaf38b557f),2023-04-17,Refactor,#23112
2449,BugFix,(fad1dcefbcd300128b474783f1183ea8a6d18496),2023-04-20,BugFix,#23112
2450,Refactor,(4233e4864f0c621612ce35a9b6ca882312e3aa4d),2023-04-22,Refactor,#23112
2451,Refactor,(68f74784a3a41c643984ee62a507b25903430591),2023-04-25,Refactor,#23112
2452,Refactor,(467ab74523087a852ab50939d86a0ca0b78f17ad),2023-04-26,Refactor,#23112
2453,Refactor,(2538a7c4d6148d8249f5418a76c58ec483343d2b),2023-04-29,Refactor,#23112
2454,Refactor,(1234e6af528710c7be4f0c9878a023d69fb7f3fe),2023-04-30,Refactor,#23112
2455,Refactor,(673e6d5380017f6cb30e75a3cc0c9d7385bf2654),2023-05-04,Refactor,#23112
2456,Refactor,(85325f585ac4a9bb667423561540b5d58bdc3b6e),2023-05-05,Refactor,#23112
2457,Refactor,(664b35b77c0ddf9562de6e74dd253f5bb33ce6b0),2023-05-05,Refactor,#23112
2458,Refactor,(c6ea99f4be9c52d28c535e823da4171a7a89fa31),2023-05-08,Refactor,#23112
2459,Refactor,(d52d26b4ef55ebb7ebc56ce5c712e4914f3aeb2a),2023-05-10,Refactor,#23112
2460,Refactor,(1f9bfc5c7491d802d242623f8253b1f52c0917a3),2023-05-10,Refactor,#23112
2461,Refactor,(18005cb91e6d731b332b0baa29902bdd46a14313),2023-05-13,Refactor,#23112
2462,Refactor,(25ddde0394361c23194c0f4a8f9777d389040af3),2023-05-15,Refactor,#23112
2463,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#23112
2464,Refactor,(3b681f7b7450582e0fca2425aabf47b37624cbda),2023-06-05,Refactor,#23112
2465,Refactor,(8c9172cf5d21fd57aed16edbe825a872ae064ad0),2023-06-22,Refactor,#23112
